id,cuisine,ingredients
10259,greek,9
25693,southern_us,11
20130,filipino,12
22213,indian,4
13162,indian,20
6602,jamaican,12
42779,spanish,13
3735,italian,10
16903,mexican,13
12734,italian,6
5875,italian,13
45887,chinese,15
2698,italian,10
41995,mexican,17
31908,italian,12
24717,indian,10
34466,british,4
1420,italian,4
2941,thai,4
8152,vietnamese,13
13121,thai,12
40523,mexican,6
40989,southern_us,6
29630,chinese,12
49136,italian,9
26705,chinese,15
27976,cajun_creole,10
22087,italian,11
9197,chinese,14
1299,mexican,4
40429,italian,5
34419,cajun_creole,16
10276,mexican,9
33465,thai,17
39250,italian,8
37963,cajun_creole,9
20051,italian,8
11300,filipino,10
17610,southern_us,8
37405,southern_us,14
28302,italian,8
31634,brazilian,5
32304,mexican,12
36341,indian,10
29369,mexican,11
27564,chinese,8
18515,french,6
3335,southern_us,8
4499,southern_us,7
4906,southern_us,6
5767,japanese,12
30748,southern_us,10
35930,italian,14
44902,southern_us,10
31119,italian,4
3535,jamaican,22
47028,japanese,9
38112,indian,6
2646,italian,4
5206,irish,8
38233,thai,6
39267,thai,12
11913,indian,14
20591,jamaican,20
70,italian,9
43928,thai,8
8530,korean,14
275,french,5
43769,french,9
49111,southern_us,7
11886,spanish,7
45839,indian,22
699,moroccan,8
24568,italian,8
8820,italian,11
16582,moroccan,16
9058,moroccan,17
4715,vietnamese,3
29061,japanese,6
2107,mexican,6
22825,cajun_creole,17
13758,southern_us,9
6886,french,10
14874,indian,17
43399,indian,5
38254,italian,8
41596,italian,10
33989,indian,8
17004,korean,2
4969,spanish,8
31831,italian,4
46648,southern_us,9
36888,southern_us,6
34471,greek,6
25164,mexican,7
39600,mexican,17
46357,southern_us,11
46905,indian,15
8753,italian,6
37337,italian,7
17636,italian,9
8997,japanese,8
28851,italian,7
4635,greek,6
7782,korean,12
8031,indian,10
49434,mexican,3
31318,southern_us,16
31027,irish,17
47095,korean,10
4574,chinese,16
19757,mexican,11
35570,southern_us,7
44812,chinese,13
27858,moroccan,17
18624,irish,9
9406,chinese,14
35132,irish,10
33071,mexican,8
8321,italian,9
20955,italian,14
45776,italian,15
6043,jamaican,20
336,mexican,8
25751,japanese,7
793,spanish,10
34367,chinese,11
7406,mexican,6
7473,british,8
7532,indian,12
5924,thai,12
5802,southern_us,12
41078,mexican,4
20665,spanish,6
39471,french,7
9595,italian,10
27869,indian,9
44776,british,5
17771,spanish,11
43970,italian,10
27165,korean,5
11190,indian,14
21872,mexican,18
29853,mexican,2
1154,southern_us,8
9069,french,7
46975,cajun_creole,14
4892,indian,11
21467,chinese,10
20919,italian,4
42013,italian,14
17821,italian,11
44138,southern_us,13
5980,greek,13
41961,japanese,17
27008,cajun_creole,6
31867,italian,7
34248,korean,13
13792,mexican,10
38502,indian,9
7023,italian,9
7783,mexican,7
2472,korean,7
45193,chinese,13
7501,french,16
34930,chinese,13
42967,spanish,15
14080,chinese,14
45352,spanish,12
46205,japanese,13
47427,mexican,11
40064,french,5
